Date,Adj Close,Close,High,Low,Open,Volume,RBI Repo Rate,NiftyPctChange,SnpYesterdayPctChange
2013-09-30,5735.2998046875,5735.2998046875,5810.2001953125,5718.5,5801.0498046875,155700,7.5,0,0.0
2013-10-01,5780.0498046875,5780.0498046875,5786.4501953125,5700.9501953125,5756.10009765625,159200,7.5,1,0.0
2013-10-03,5909.7001953125,5909.7001953125,5917.60009765625,5802.7001953125,5819.10009765625,199800,7.5,1,1.0
2013-10-04,5907.2998046875,5907.2998046875,5950.4501953125,5885.0,5891.2998046875,191500,7.5,1,0.0
2013-10-07,5906.14990234375,5906.14990234375,5912.0,5825.85009765625,5889.0498046875,156400,7.5,1,1.0
2013-10-08,5928.39990234375,5928.39990234375,5981.7001953125,5913.0,5975.0,158500,7.5,0,0.0
2013-10-09,6007.4501953125,6007.4501953125,6015.5,5877.10009765625,5893.25,192000,7.5,1,0.0
2013-10-10,6020.9501953125,6020.9501953125,6033.9501953125,5979.7998046875,6001.0498046875,159600,7.5,1,0.0
2013-10-11,6096.2001953125,6096.2001953125,6107.60009765625,6046.39990234375,6104.85009765625,180800,7.5,0,1.0
2013-10-14,6112.7001953125,6112.7001953125,6124.10009765625,6082.89990234375,6093.0,142200,7.5,1,1.0
2013-10-15,6089.0498046875,6089.0498046875,6156.2998046875,6056.5498046875,6147.5498046875,218300,7.5,0,1.0
2013-10-17,6045.85009765625,6045.85009765625,6110.75,6032.5498046875,6098.5,230600,7.5,0,1.0
2013-10-18,6189.35009765625,6189.35009765625,6201.4501953125,6070.89990234375,6070.89990234375,250300,7.5,1,1.0
2013-10-21,6204.9501953125,6204.9501953125,6218.9501953125,6163.2998046875,6202.0,197000,7.5,1,1.0
2013-10-22,6202.7998046875,6202.7998046875,6220.10009765625,6181.7998046875,6192.2998046875,161900,7.5,1,0.0
2013-10-23,6178.35009765625,6178.35009765625,6217.9501953125,6116.60009765625,6209.5498046875,188300,7.5,0,1.0
2013-10-24,6164.35009765625,6164.35009765625,6252.4501953125,6142.9501953125,6162.7998046875,148900,7.5,1,0.0
2013-10-25,6144.89990234375,6144.89990234375,6174.75,6125.9501953125,6154.0,144500,7.5,0,1.0
2013-10-28,6101.10009765625,6101.10009765625,6168.75,6094.10009765625,6155.10009765625,146300,7.5,0,1.0
2013-10-29,6220.89990234375,6220.89990234375,6228.0498046875,6079.2001953125,6107.5498046875,197300,7.8,1,1.0
